registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:1034,ENDAS|FIGC,72507,01/07/2025,30/06/2026
coni:10341,FIGC,949244,01/07/2025,30/06/2026
coni:10352,FIGC,66822,01/07/2025,30/06/2026
coni:10361,FIGC,947436,01/07/2025,30/06/2026
coni:103628,FIGC,665436,01/07/2025,30/06/2026
coni:103648,FIGC,58145,01/07/2025,30/06/2026
coni:103662,CSI|FIGC,00671,05/06/2025,31/05/2026
coni:103689,FIGC|PGS,910073,01/07/2025,30/06/2026
coni:103696,FIGC,70365,01/07/2025,30/06/2026
coni:103702,FIGC,740316,01/07/2025,30/06/2026
coni:103715,FIGC,913346,01/07/2025,30/06/2026
coni:103721,CSI|FIGC,60789,01/07/2025,30/06/2026
coni:103726,CSEN|FIGC,72606,01/07/2025,30/06/2026
coni:1038,FIGC,780302,01/07/2025,30/06/2026
coni:103802,FIGC,204981,01/07/2025,30/06/2026
coni:103866,FIGC,75363,01/07/2025,30/06/2026
coni:103887,CSI|FIGC|FIP|UISP,202963,01/07/2025,30/06/2026
coni:10392,CSI|FIGC,76244,01/07/2025,30/06/2026
coni:103922,CSEN|FIGC,935995,01/07/2025,30/06/2026
coni:104,FIGC,770316,01/07/2025,30/06/2026
coni:1040,AICS|FIGC,66840,01/07/2025,30/06/2026
coni:104008,FIGC,26310,01/07/2025,30/06/2026
coni:104061,CSI|FIGC,08100451,07/07/2025,30/06/2026
coni:104168,CSI|FIGC,950101,01/07/2025,30/06/2026
coni:104226,AICS|FIGC,78009,01/07/2025,30/06/2026
coni:10423,FIGC,64126,01/07/2025,30/06/2026
coni:104243,CSI|FIGC,02200092,02/07/2025,30/06/2026
coni:10426,AICS|FIGC,780698,01/07/2025,30/06/2026
coni:104268,FIGC,934955,01/07/2025,30/06/2026
coni:10428,FIGC,912060,01/07/2025,30/06/2026
coni:10434,CSI|FIGC,630571,01/07/2025,30/06/2026
coni:104357,FIGC,938359,01/07/2025,30/06/2026
coni:104391,FIGC,935634,01/07/2025,30/06/2026
coni:104393,FIGC,915076,01/07/2025,30/06/2026
coni:104415,CSI|FIGC,947605,01/07/2025,30/06/2026
coni:104418,FIGC,932470,01/07/2025,30/06/2026
coni:10442,FIGC,75022,01/07/2025,30/06/2026
coni:10448,FIGC,946991,01/07/2025,30/06/2026
coni:104482,FIGC,944319,01/07/2025,30/06/2026
coni:104586,FIGC|UISP,665441,01/07/2025,30/06/2026
coni:104594,FIGC,933965,01/07/2025,30/06/2026
coni:104640,FIGC,665289,01/07/2025,30/06/2026
coni:10478,CSI|FIGC|UISP,630417,01/07/2025,30/06/2026
coni:104941,CSI|FIGC,675968,01/07/2025,30/06/2026
coni:10497,CSI|FIGC|US_ACLI,950178,01/07/2025,30/06/2026
coni:105025,FIGC,620045,01/07/2025,30/06/2026
coni:105052,CSI|FIGC,912855,01/07/2025,30/06/2026
coni:105060,CSI|FIGC,932514,01/07/2025,30/06/2026
coni:105071,CSEN|FIGC,200267,01/07/2025,30/06/2026
coni:10508,FIGC,910973,01/07/2025,30/06/2026
coni:1051,FIGC,33140,01/07/2025,30/06/2026
coni:105171,CSEN|FIGC,911386,01/07/2025,30/06/2026
coni:105179,FIGC,205572,01/07/2025,30/06/2026
coni:10519,FIGC,947315,01/07/2025,30/06/2026
coni:105199,CSI|FIGC,08400738,16/07/2025,30/06/2026
coni:105241,FIGC,665364,01/07/2025,30/06/2026
coni:10527,FIGC,40020,01/07/2025,30/06/2026
coni:1053,FIGC,953931,01/07/2025,30/06/2026
coni:105308,FIGC,676134,01/07/2025,30/06/2026
coni:105348,FIGC,915265,01/07/2025,30/06/2026
coni:105349,FIGC,953955,01/07/2025,30/06/2026
coni:10537,FIGC,910851,01/07/2025,30/06/2026
coni:105404,CSEN|FIGC,918341,01/07/2025,30/06/2026
coni:10557,FIGC,932333,01/07/2025,30/06/2026
coni:10575,FIGC,932685,01/07/2025,30/06/2026
coni:105896,FIGC,941273,01/07/2025,30/06/2026
coni:105977,CSEN|FIGC,204618,01/07/2025,30/06/2026
