registry_club_id,id_societa,club_name,discipline_raw,clubandplayer_sport
coni:3759,3759,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ELICESE,Calcio (a 11),Calcio
coni:37618,37618,G.S.D. LA SPEZIA CALCIO,Calcio (a 11),Calcio
coni:3762,3762,ASSOCIAZIONE SPORTIVA DILETTANTISTICA REGGIO UNITED,Calcio (a 11),Calcio
coni:3762,3762,ASSOCIAZIONE SPORTIVA DILETTANTISTICA REGGIO UNITED,Futsal (calcio da sala - calcio a 5),Futsal
coni:3762,3762,ASSOCIAZIONE SPORTIVA DILETTANTISTICA REGGIO UNITED,Calcio (a 7),Calcio
coni:37628,37628,ASSOCIAZIONE SPORTIVA DILETTANTISTICA UNIONE SPORTIVA DON BOSCO,Calcio (a 11),Calcio
coni:37640,37640,BARONA SPORTING 1971 S.S.D. A R.L.,Calcio (a 11),Calcio
coni:37640,37640,BARONA SPORTING 1971 S.S.D. A R.L.,Calcio (a 7),Calcio
coni:3767,3767,ASSOCIAZIONE SPORTIVA DILETTANTISTICA U.S. RAMINI,Calcio (a 11),Calcio
coni:37690,37690,"""ASSOCIAZIONE SPORTIVA DILETTANTISTICA ALMAS ROMA S.R.L."" IN SIGLA ""A.S.D. ALMAS ROMA S.R.L.""",Calcio (a 11),Calcio
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Calcio (a 11),Calcio
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Rugby a 7,Rugby
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Rugby a 15,Rugby
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Touch Rugby,Rugby
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Pallacanestro,Basket
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Pallavolo,Volley
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Futsal (calcio da sala - calcio a 5),Futsal
coni:3771,3771,G.S. BELLARIA CAPPUCCINI A.S.D.,Calcio (a 7),Calcio
coni:37713,37713,ASSOCIAZIONE SPORTIVA DILETTANTISTICA CHIAMPO,Calcio (a 11),Calcio
coni:37722,37722,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LAZISE,Calcio (a 11),Calcio
coni:37722,37722,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LAZISE,Futsal (calcio da sala - calcio a 5),Futsal
coni:37725,37725,RINASCITA 1970 A.S.D. E A.P.S.,Calcio (a 11),Calcio
coni:37735,37735,U.S.FIORENZUOLA 1922 SSD A RL,Calcio (a 11),Calcio
coni:37737,37737,A.S.D. PALLERONESE,Calcio (a 11),Calcio
coni:37739,37739,UNIONE SPORTIVA SANTERENZINA,Calcio (a 11),Calcio
coni:37739,37739,UNIONE SPORTIVA SANTERENZINA,Calcio (a 7),Calcio
