registry_club_id,id_societa,club_name,discipline_raw,clubandplayer_sport
coni:36331,36331,ASSOCIAZIONE SPORTIVA DILETTANTISTICA POLISPORTIVA 'SANTU PREDU',Calcio (a 11),Calcio
coni:36332,36332,ASSOCIAZIONE SPORTIVA DILETTISTICA MORUZZO,Calcio (a 11),Calcio
coni:36340,36340,A.S.D. S.A.P. RAMUSCELLESE,Calcio (a 11),Calcio
coni:36345,36345,UN. SP. S. PIV ASD,Calcio (a 11),Calcio
coni:36352,36352,ASSOCIAZ.SPORTIVA DILETTANTISTICA GRUPPO SPORTIVO CHIAVRIS,Calcio (a 11),Calcio
coni:36357,36357,CLUB SPORTIVO FIRNZE P.D.,Calcio (a 11),Calcio
coni:36358,36358,AMATEURSPORTVEREIN MONTAN RAIFFEISEN,Calcio (a 11),Calcio
coni:36417,36417,MANZANESE CALCIO S.S.D. A R.L.,Calcio (a 11),Calcio
coni:36432,36432,GRUPPO SPORTIVO DILETTANTISTICO PIANELLA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:36441,36441,CENTRO UNIVERSITARIO SPORTIVO - C.U.S. (ANCHE CUS) TRENTO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Futsal (calcio da sala - calcio a 5),Futsal
coni:36441,36441,CENTRO UNIVERSITARIO SPORTIVO - C.U.S. (ANCHE CUS) TRENTO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Pallacanestro,Basket
coni:36441,36441,CENTRO UNIVERSITARIO SPORTIVO - C.U.S. (ANCHE CUS) TRENTO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Baseball - Softball,Baseball
coni:36446,36446,A.S.D PRO PATRIA,Calcio (a 11),Calcio
coni:36451,36451,ASD UNIONE SPORTIVA COMUNANZA 1958,Calcio (a 11),Calcio
coni:36461,36461,"ASSOCIAZIONE SPORTIVA DILETTANTISTICA ""GIOVANE ITALIA POLESELLA""",Calcio (a 11),Calcio
coni:36474,36474,ASSOCIAZIONE POLISPORTIVA IL CERVO,Calcio (a 11),Calcio
coni:36474,36474,ASSOCIAZIONE POLISPORTIVA IL CERVO,Calcio (a 7),Calcio
coni:36474,36474,ASSOCIAZIONE POLISPORTIVA IL CERVO,Futsal (calcio da sala - calcio a 5),Futsal
coni:36476,36476,AMATEURSPORTVEREIN KLAUSEN,Calcio (a 11),Calcio
coni:36477,36477,A.S.D. UNIONE POLISPORTIVA REANESE,Calcio (a 11),Calcio
coni:36490,36490,ASSOCIAZIONE SPORTIVA DILETTANTISTICA GRUPPO SPORTIVO BUONCONVENTO,Calcio (a 11),Calcio
coni:36495,36495,FOOT-BALL CLUB LUIGI MERONI A.S.D.,Calcio (a 11),Calcio
coni:36498,36498,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MARRA,Calcio (a 11),Calcio
coni:36514,36514,GRUPPO SPORTIVO FADIGATI-ASSOCIAZIONE SPORTIVA DILETTANTISTI,Calcio (a 11),Calcio
coni:36514,36514,GRUPPO SPORTIVO FADIGATI-ASSOCIAZIONE SPORTIVA DILETTANTISTI,Calcio (a 7),Calcio
coni:36514,36514,GRUPPO SPORTIVO FADIGATI-ASSOCIAZIONE SPORTIVA DILETTANTISTI,Pallacanestro,Basket
coni:36517,36517,ASSOCIAZIONE POLISPORTIVA DILETTANTISTICA SPINA,Calcio (a 11),Calcio
coni:36536,36536,UNIONE SPORTIVA DILETTANTISTICA TRAVESE,Calcio (a 11),Calcio
coni:36554,36554,UNION TRENTO RAVINENSE A.S.D.,Calcio (a 11),Calcio
coni:36554,36554,UNION TRENTO RAVINENSE A.S.D.,Futsal (calcio da sala - calcio a 5),Futsal
coni:36554,36554,UNION TRENTO RAVINENSE A.S.D.,Calcio (a 7),Calcio
coni:36564,36564,A.S.D. VICIOMAGGIO,Calcio (a 11),Calcio
coni:3658,3658,A.C.D. TUSCAR,Calcio (a 11),Calcio
coni:36580,36580,ASD UNIONE SPORTIVA VALVASONE ARZENE-SAN MARTINO AL TAGLIAMENTO,Calcio (a 11),Calcio
coni:36580,36580,ASD UNIONE SPORTIVA VALVASONE ARZENE-SAN MARTINO AL TAGLIAMENTO,Calcio (a 8),Calcio
coni:36580,36580,ASD UNIONE SPORTIVA VALVASONE ARZENE-SAN MARTINO AL TAGLIAMENTO,Futsal (calcio da sala - calcio a 5),Futsal
coni:36580,36580,ASD UNIONE SPORTIVA VALVASONE ARZENE-SAN MARTINO AL TAGLIAMENTO,Calcio (a 7),Calcio
coni:36588,36588,ASSOCIAZIONE SPORTIVA DILETTANTISTICA TAGLIAMENTO,Calcio (a 11),Calcio
coni:36593,36593,POLISPORTIVA GAGGIO ASD APS,Calcio (a 11),Calcio
coni:36593,36593,POLISPORTIVA GAGGIO ASD APS,Calcio (a 7),Calcio
coni:36602,36602,A.S.D. GARIBALDINA,Calcio (a 11),Calcio
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Calcio (a 11),Calcio
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Pallavolo,Volley
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Pallamano,Pallamano
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Baseball - Softball,Baseball
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Futsal (calcio da sala - calcio a 5),Futsal
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,ATTIVITA' SUBACQUEE E NUOTO PINNATO Basket con le pinne (Finswimming Basket),Basket
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Pallanuoto con le pinne (Finswimming Ball),Pallanuoto
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Rugby subacqueo,Rugby
coni:36620,36620,POLISPORTIVA NONANTOLA ASSOCIAZIONE DILETTANTISCA,Pallacanestro,Basket
coni:36638,36638,ASSOCIAZIONE SPORTIVA DILETTANTISTICA PRODOLONESE,Calcio (a 11),Calcio
coni:36660,36660,A.S.D. G.S. VALLENONCELLO,Calcio (a 11),Calcio
coni:36660,36660,A.S.D. G.S. VALLENONCELLO,Pallacanestro,Basket
coni:36660,36660,A.S.D. G.S. VALLENONCELLO,Calcio (a 8),Calcio
coni:36660,36660,A.S.D. G.S. VALLENONCELLO,Futsal (calcio da sala - calcio a 5),Futsal
coni:36660,36660,A.S.D. G.S. VALLENONCELLO,Calcio (a 7),Calcio
coni:36663,36663,ASD US MOLVENOSPOR,Calcio (a 11),Calcio
coni:36666,36666,A.S.D.C. VIRTUS BOLZANO,Calcio (a 11),Calcio
coni:36666,36666,A.S.D.C. VIRTUS BOLZANO,Calcio (a 8),Calcio
coni:36666,36666,A.S.D.C. VIRTUS BOLZANO,Futsal (calcio da sala - calcio a 5),Futsal
coni:36666,36666,A.S.D.C. VIRTUS BOLZANO,Calcio (a 7),Calcio
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Calcio (a 11),Calcio
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Futsal (calcio da sala - calcio a 5),Futsal
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Pallacanestro,Basket
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Pallanuoto,Pallanuoto
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Beach Handball,Pallamano
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Pallavolo,Volley
coni:36668,36668,CENTRO UNIVERSITARIO SPORTIVO PALERMO A.S.D.,Pallacanestro 3 contro 3,Basket
coni:36688,36688,ASSOCIAZIONE SPORTIVA DILETTAN TISTICA A.C. VIRTUS ROVEREDO,Calcio (a 11),Calcio
coni:36702,36702,LAGHETTI ASD UNIONE SPORTIVA DILETTANTI RAIFFEISEN,Calcio (a 11),Calcio
coni:36723,36723,AMATEURSPORTVEREIN STEINEGG,Calcio (a 11),Calcio
coni:36735,36735,AMATEURSPORTVEREIN KSV FUSSBALL,Calcio (a 11),Calcio
coni:36749,36749,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FLUMIGNANO,Calcio (a 11),Calcio
coni:36755,36755,A.S.D. LA PALMA CAGLIARI,Calcio (a 11),Calcio
coni:3676,3676,FOOTBALL CLUB DILETTANTISTICA RIVERNIVIANO,Calcio (a 11),Calcio
coni:36765,36765,A.S.D. FULGOR,Calcio (a 11),Calcio
coni:36767,36767,ASSOCIAZIONE SPORTIVA DILETTANTISTICA SAN GOTTARDO,Calcio (a 11),Calcio
coni:36768,36768,A.S.D. MAGIONE,Calcio (a 11),Calcio
coni:36769,36769,ASSOCIAZIONE SPORTIVA DILETTANTISTICA RIVOLTO,Calcio (a 11),Calcio
coni:36775,36775,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ASSOSANGIORGINA,Calcio (a 11),Calcio
coni:36802,36802,AMATEURSPORTCLUB BARBIAN,Calcio (a 11),Calcio
coni:36812,36812,A.S.D. REAL BOLZANO,Calcio (a 11),Calcio
coni:36815,36815,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LARIOINTELVI - ASD 2023,Calcio (a 11),Calcio
coni:36815,36815,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LARIOINTELVI - ASD 2023,Calcio (a 7),Calcio
coni:36815,36815,ASSOCIAZIONE SPORTIVA DILETTANTISTICA LARIOINTELVI - ASD 2023,Pallavolo,Volley
coni:3682,3682,A.S.D.SCUOLA CALCIO VALLE TELESINA-TELESE T.,Calcio (a 11),Calcio
coni:3682,3682,A.S.D.SCUOLA CALCIO VALLE TELESINA-TELESE T.,Futsal (calcio da sala - calcio a 5),Futsal
coni:3682,3682,A.S.D.SCUOLA CALCIO VALLE TELESINA-TELESE T.,Calcio (a 7),Calcio
coni:36820,36820,ASSOCIAZIONE SPORTIVA DILETTANTISTICA RISANESE,Calcio (a 11),Calcio
coni:36823,36823,U.S. LAVIS A.S.D,Calcio (a 11),Calcio
coni:36823,36823,U.S. LAVIS A.S.D,Pallavolo,Volley
coni:36842,36842,AMATEURSPORTCLUB SARNTAL,Calcio (a 11),Calcio
coni:36842,36842,AMATEURSPORTCLUB SARNTAL,Hockey su ghiaccio,Hockey su ghiaccio
coni:36850,36850,SALICETA POLISPORTIVA ASD APS,Calcio (a 11),Calcio
coni:36850,36850,SALICETA POLISPORTIVA ASD APS,Calcio (a 7),Calcio
coni:36858,36858,GRUPPO SPORTIVO CALCIO CRISTO RE,Calcio (a 11),Calcio
coni:36869,36869,A.S.D. ZOMPICCHIA,Calcio (a 11),Calcio
coni:36872,36872,ASD POLISPORTIVA FLAMBRO,Calcio (a 11),Calcio
coni:36908,36908,A.S.D. SORGENTE,Calcio (a 11),Calcio
coni:36913,36913,AMATEURFUSSBALLCLUB ST. PAULS,Calcio (a 11),Calcio
coni:36930,36930,ASD U.S. PRIAMAR 1942 LIGURIA,Calcio (a 7),Calcio
coni:36930,36930,ASD U.S. PRIAMAR 1942 LIGURIA,Calcio (a 11),Calcio
coni:36938,36938,A.S.D. VIATEK SAN PAOLO ARISTON,Calcio (a 11),Calcio
coni:36943,36943,AMATEURSPORTVEREIN MAGREID,Calcio (a 11),Calcio
coni:36949,36949,UNIONE SPORTIVA SARDAGNA,Calcio (a 11),Calcio
coni:3695,3695,POLISPORTIVA CASTION ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:36952,36952,POLISPORTIVA PINETA,Futsal (calcio da sala - calcio a 5),Futsal
coni:36953,36953,UNIONE SPORTIVA SOPRAMONTE ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:36953,36953,UNIONE SPORTIVA SOPRAMONTE ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Beach volley,Volley
coni:36953,36953,UNIONE SPORTIVA SOPRAMONTE ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Pallavolo,Volley
coni:36957,36957,A.S.D. SEDEGLIANO,Calcio (a 11),Calcio
coni:36965,36965,A.S.D. AUDAX CASINALBO,Calcio (a 11),Calcio
coni:36965,36965,A.S.D. AUDAX CASINALBO,Futsal (calcio da sala - calcio a 5),Futsal
coni:36965,36965,A.S.D. AUDAX CASINALBO,Calcio (a 7),Calcio
coni:36967,36967,ASSOCIAZIONE SPORTIVA DILETTANTISTICA TOBLINO CALCIO,Calcio (a 11),Calcio
coni:36971,36971,A.S.D. CAMERI CALCIO,Calcio (a 11),Calcio
coni:36977,36977,A.S.D. COLLOREDO DI MONTE ALBANO,Calcio (a 11),Calcio
coni:36982,36982,ASSOCIAZIONE SPORTIVA DILETTANTISTICA UNIONE SPORTIVA PRO FAGAGNA,Calcio (a 11),Calcio
coni:36992,36992,GS VILLA GUARDIA SOC. COOP AR.L. S.D.,Calcio (a 11),Calcio
coni:36992,36992,GS VILLA GUARDIA SOC. COOP AR.L. S.D.,Pallavolo,Volley
coni:36992,36992,GS VILLA GUARDIA SOC. COOP AR.L. S.D.,Pallacanestro,Basket
coni:37006,37006,AMATEURSPORTVEREIN JENESIEN,Calcio (a 11),Calcio
coni:37026,37026,A.S.D. SOVIZZO CALCIO,Calcio (a 11),Calcio
coni:37032,37032,ASD VALNATISONE CALCIO,Calcio (a 11),Calcio
coni:37037,37037,USD CASTELDAZZANO,Calcio (a 11),Calcio
coni:37041,37041,ASSOCIAZIONE SPORTIVA DILETTANTISTICA GRUPPO SPORTIVO MARACALAGONIS,Calcio (a 11),Calcio
coni:37041,37041,ASSOCIAZIONE SPORTIVA DILETTANTISTICA GRUPPO SPORTIVO MARACALAGONIS,Futsal (calcio da sala - calcio a 5),Futsal
coni:37072,37072,USD MONTECCHIO PRECALCINO,Calcio (a 11),Calcio
coni:37106,37106,CENTRO SPORTIVO GIGI RIVA - ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:37116,37116,A.S.D. SAN PAOLO SANTOS,Calcio (a 11),Calcio
coni:37127,37127,CURTAROLESE 97ACD,Calcio (a 11),Calcio
coni:37140,37140,A.S.D. CALCIO ROLO,Calcio (a 11),Calcio
coni:37163,37163,SOCIETA' SPORTIVA DILETTANTISTICA VALENTANO,Calcio (a 11),Calcio
coni:37167,37167,A.S.D. LEVATE,Calcio (a 11),Calcio
coni:37167,37167,A.S.D. LEVATE,Futsal (calcio da sala - calcio a 5),Futsal
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Calcio (a 11),Calcio
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Pallacanestro,Basket
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Rugby a 7,Rugby
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Touch Rugby,Rugby
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Pallavolo,Volley
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Rugby a 15,Rugby
coni:37168,37168,POLISPORTIVA SIECI A.S.D.,Futsal (calcio da sala - calcio a 5),Futsal
coni:37187,37187,GRUPPO SPORTIVO TERRALBA CALCIO - FRANCESCO BELLU A.S.D.,Calcio (a 11),Calcio
coni:37220,37220,G.S. NOVILARA CALCIO A.S.D.,Calcio (a 11),Calcio
coni:37225,37225,U.P.D. ISOLOTTO,Calcio (a 11),Calcio
coni:37226,37226,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MONTESPERTOLI,Calcio (a 11),Calcio
coni:3723,3723,ASSOCIAZIONE SPORTIVA DILETTANTISTICA S.S. DILETTANTISTICA IL MELOGRANO,Calcio (a 11),Calcio
coni:37232,37232,A.S.D.NARBOLIESE,Calcio (a 11),Calcio
coni:37238,37238,U. S. OTHOCA - CAPPUCCINI,Calcio (a 11),Calcio
coni:37238,37238,U. S. OTHOCA - CAPPUCCINI,Calcio (a 8),Calcio
coni:37238,37238,U. S. OTHOCA - CAPPUCCINI,Futsal (calcio da sala - calcio a 5),Futsal
coni:37238,37238,U. S. OTHOCA - CAPPUCCINI,Calcio (a 7),Calcio
coni:37242,37242,U.P.D.NORBELLO,Calcio (a 11),Calcio
coni:37276,37276,A.S.D. LA TORRE CALCIO,Calcio (a 11),Calcio
